filename,lines,sections
arch/arm/cpu/armv7/bcm235xx/clk-bsc.c,51,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/bcm235xx/clk-core.c,514,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/bcm235xx/clk-core.h,491,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/bcm235xx/clk-eth.c,143,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/bcm235xx/clk-sdio.c,72,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/bcm235xx/clk-usb-otg.c,26,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/bcm281xx/Makefile,11,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/bcm281xx/clk-bcm281xx.c,572,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/bcm281xx/clk-bsc.c,51,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/bcm281xx/clk-core.c,514,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/bcm281xx/clk-core.h,491,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/bcm281xx/clk-eth.c,143,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/bcm281xx/clk-sdio.c,72,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/bcm281xx/clk-usb-otg.c,26,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/bcm281xx/reset.c,27,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/bcmcygnus/Makefile,5,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/bcmcygnus/reset.c,20,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/bcmnsp/Makefile,5,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/bcmnsp/reset.c,19,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/cache_v7.c,212,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/cache_v7_asm.S,152,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/config.mk,11,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/cp15.c,28,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/cpu.c,85,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/exception_level.c,58,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/iproc-common/Makefile,7,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/iproc-common/armpll.c,172,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/iproc-common/hwinit-common.c,16,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/iproc-common/timer.c,132,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/kona-common/Makefile,8,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/kona-common/clk-stubs.c,25,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/kona-common/hwinit-common.c,17,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/kona-common/reset.S,25,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/kona-common/s_init.c,11,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/lowlevel_init.S,71,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/ls102xa/Kconfig,101,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/ls102xa/Makefile,19,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/ls102xa/clock.c,118,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/ls102xa/cpu.c,417,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/ls102xa/fdt.c,196,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/ls102xa/fsl_epu.c,213,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/ls102xa/fsl_epu.h,75,"""ARM"",""THE REST"""
