from,to,lines,size
ARM RENESAS RMOBILE/R-CAR,ARM RENESAS RMOBILE/R-CAR,98434,3105855
ARM RENESAS RMOBILE/R-CAR,CLOCK,9805,337790
ARM RENESAS RMOBILE/R-CAR,I2C,965,23651
ARM RENESAS RMOBILE/R-CAR,MMC,3073,84037
ARM RENESAS RMOBILE/R-CAR,NETWORK,3371,82245
ARM RENESAS RMOBILE/R-CAR,SPI,831,20340
ARM RENESAS RMOBILE/R-CAR,THE REST,98434,3105855
ARM RENESAS RMOBILE/R-CAR,USB,810,35097
ARM RENESAS RMOBILE/R-CAR,USB xHCI,810,35097
ARM ROCKCHIP,ARM ROCKCHIP,185034,4364409
ARM ROCKCHIP,BINMAN,36,867
ARM ROCKCHIP,CLOCK,18394,473362
ARM ROCKCHIP,MMC,881,24669
ARM ROCKCHIP,NETWORK,1297,34207
ARM ROCKCHIP,RAW NAND,1241,31496
ARM ROCKCHIP,RNG,327,8114
ARM ROCKCHIP,SPI,646,15817
ARM ROCKCHIP,THE REST,185034,4364409
ARM ROCKCHIP,USB,118,2978
ARM ROCKCHIP,VIDEO,4430,117648
ARM SAMSUNG,ARM SAMSUNG,19342,519503
ARM SAMSUNG,THE REST,19342,519503
ARM SANCLOUD,ARM SANCLOUD,333,8867
ARM SANCLOUD,THE REST,333,8867
ARM SNAPDRAGON,ARM SNAPDRAGON,4615,118418
ARM SNAPDRAGON,MMC,246,6050
ARM SNAPDRAGON,SPMI,253,6311
ARM SNAPDRAGON,THE REST,4615,118418
ARM SNAPDRAGON,USB,150,3318
ARM STI,ARM STI,1959,50546
ARM STI,MMC,151,3752
ARM STI,THE REST,1959,50546
ARM STI,USB,254,6314
ARM STM STM32MP,ARM STM STM32MP,69153,1707079
ARM STM STM32MP,CLOCK,5675,157021
ARM STM STM32MP,COLDFIRE,47,605
ARM STM STM32MP,I2C,976,24329
ARM STM STM32MP,MMC,806,22348
ARM STM STM32MP,POWER,1116,26439
ARM STM STM32MP,RAW NAND,1062,28220
ARM STM STM32MP,RNG,597,14542
ARM STM STM32MP,SPI,1193,28238
ARM STM STM32MP,THE REST,69153,1707079
ARM STM STM32MP,UBI,2053,49931
ARM STM STM32MP,VIDEO,1249,36741
ARM STM STM32MP,WATCHDOG,141,3405
ARM STM STV0991,ARM STM STV0991,720,20999
ARM STM STV0991,THE REST,720,20999
ARM SUNXI,ARM SUNXI,29044,859817
ARM SUNXI,CLOCK,1858,56663
ARM SUNXI,THE REST,29044,859817
ARM SUNXI,VIDEO,2793,78265
ARM TEGRA,ARM TEGRA,58547,1566625
ARM TEGRA,CLOCK,219,5101
ARM TEGRA,I2C,659,16040
ARM TEGRA,MMC,778,20333
ARM TEGRA,SPI,1586,44230
ARM TEGRA,THE REST,58547,1566625
ARM TEGRA,VIDEO,6257,182697
ARM TI,ARM TI,193889,8367021
ARM TI,THE REST,193889,8367021
ARM TI,TI SYSTEM SECURITY,760,21892
ARM TI,VIDEO,1404,37497
ARM TI,WATCHDOG,268,6839
ARM U8500,ARM U8500,2919,72930
ARM U8500,POWER,268,6604
ARM U8500,THE REST,2919,72930
ARM U8500,USB,179,3739
ARM U8500,VIDEO,141,3745
ARM UNIPHIER,ARM UNIPHIER,21968,568589
ARM UNIPHIER,CLOCK,593,15846
ARM UNIPHIER,I2C,550,13635
ARM UNIPHIER,MMC,90,2008
ARM UNIPHIER,SPI,420,10742
ARM UNIPHIER,THE REST,21968,568589
ARM UNIPHIER,USB,154,4438
ARM VERSAL,ARM VERSAL,6444,157240
ARM VERSAL,ARM VERSAL NET,1345,28638
ARM VERSAL,CLOCK,786,17468
ARM VERSAL,FPGA,55,1262
ARM VERSAL,MICROBLAZE,3358,87817
ARM VERSAL,NETWORK,767,22944
ARM VERSAL,SPI,239,6544
ARM VERSAL,THE REST,6444,157240
ARM VERSAL,WATCHDOG,208,5251
ARM VERSAL NET,ARM VERSAL NET,1345,28638
ARM VERSAL NET,MICROBLAZE,584,13018
ARM VERSAL NET,THE REST,1345,28638
ARM VERSATILE EXPRESS DRIVERS,ARM VERSATILE EXPRESS DRIVERS,2462,64085
ARM VERSATILE EXPRESS DRIVERS,CLOCK,112,2522
ARM VERSATILE EXPRESS DRIVERS,THE REST,2462,64085
ARM ZYNQ,ARM ZYNQ,146360,5369606
ARM ZYNQ,ARM ZYNQMP,68755,2126284
ARM ZYNQ,ARM ZYNQMP R5,73,1383
ARM ZYNQ,CLOCK,1390,35380
ARM ZYNQ,FPGA,965,24200
ARM ZYNQ,I2C,715,17993
ARM ZYNQ,MICROBLAZE,97247,4170326
ARM ZYNQ,MMC,1239,33095
ARM ZYNQ,NETWORK,1251,32114
ARM ZYNQ,POWER,78,1774
ARM ZYNQ,RAW NAND,1303,36889
ARM ZYNQ,SPI,1995,51536
ARM ZYNQ,THE REST,146360,5369606
ARM ZYNQ,USB,91,2199
ARM ZYNQ,VIDEO,2918,92520
ARM ZYNQ,WATCHDOG,305,7936
ARM ZYNQMP,ARM ZYNQMP,69608,2147498
ARM ZYNQMP,ARM ZYNQMP R5,73,1383
ARM ZYNQMP,CLOCK,888,23463
ARM ZYNQMP,FPGA,965,24200
ARM ZYNQMP,I2C,715,17993
ARM ZYNQMP,MICROBLAZE,27158,1106576
ARM ZYNQMP,MMC,1239,33095
ARM ZYNQMP,NETWORK,1158,30103
ARM ZYNQMP,POWER,78,1774
ARM ZYNQMP,RAW NAND,1303,36889
ARM ZYNQMP,SPI,1995,51536
ARM ZYNQMP,THE REST,69608,2147498
ARM ZYNQMP,VIDEO,3245,101066
ARM ZYNQMP,WATCHDOG,305,7936
ARM ZYNQMP R5,ARM ZYNQMP R5,73,1383
ARM ZYNQMP R5,THE REST,73,1383
ASPEED AST2600 I2C DRIVER,ASPEED AST2600 I2C DRIVER,366,9239
ASPEED AST2600 I2C DRIVER,I2C,366,9239
ASPEED AST2600 I2C DRIVER,THE REST,366,9239
ASPEED FMC SPI DRIVER,ASPEED FMC SPI DRIVER,1217,32943
ASPEED FMC SPI DRIVER,SPI,1217,32943
ASPEED FMC SPI DRIVER,THE REST,1217,32943
BINMAN,BINMAN,39237,1295778
BINMAN,MICROBLAZE,271,10175
BINMAN,THE REST,39237,1295778
BLKMAP,BLKMAP,1142,27972
BLKMAP,DRIVER MODEL,201,5102
BLKMAP,THE REST,1142,27972
BOOTDEVICE,BOOTDEVICE,10786,310240
BOOTDEVICE,MMC,43,833
BOOTDEVICE,THE REST,10786,310240
BTRFS,BTRFS,9586,259652
BTRFS,THE REST,9586,259652
BUILDMAN,BUILDMAN,15889,613439
BUILDMAN,THE REST,15889,613439
CAAM,CAAM,4492,126000
CAAM,THE REST,4492,126000
CAT,CAT,70,1443
CAT,THE REST,70,1443
CFI FLASH,CFI FLASH,3024,77276
CFI FLASH,THE REST,3024,77276
CLOCK,CLOCK,85580,2383198
CLOCK,MIPS MEDIATEK,610,13792
CLOCK,POWERPC MPC83XX,814,20887
CLOCK,RISC-V CANAAN KENDRYTE K210,1344,36370
CLOCK,SANDBOX,691,15170
CLOCK,THE REST,85580,2383198
COLDFIRE,COLDFIRE,19906,548675
COLDFIRE,THE REST,19906,548675
COLDFIRE,WATCHDOG,135,2902
CYCLIC,CYCLIC,337,8424
CYCLIC,THE REST,337,8424
DFU,DFU,30987,801301
DFU,FASTBOOT,560,14598
DFU,ROCKUSB,933,24207
DFU,THE REST,30987,801301
DFU,USB,26521,694291
DRIVER MODEL,DRIVER MODEL,42408,1179940
DRIVER MODEL,EFI APP,24,507
DRIVER MODEL,FASTBOOT,95,3178
DRIVER MODEL,FPGA,20,372
DRIVER MODEL,NVMXIP,147,4230
DRIVER MODEL,THE REST,42408,1179940
DRIVER MODEL,VirtIO,33,827
EFI APP,EFI APP,1197,33214
EFI APP,EFI PAYLOAD,800,24499
EFI APP,THE REST,1197,33214
EFI PAYLOAD,EFI PAYLOAD,66500,1937174
EFI PAYLOAD,THE REST,66500,1937174
ENVIRONMENT,ENVIRONMENT,10926,272941
ENVIRONMENT,THE REST,10926,272941
ENVIRONMENT AS TEXT,ENVIRONMENT AS TEXT,639,23855
ENVIRONMENT AS TEXT,THE REST,639,23855
