"c_representative","c_section","c_size"
"DRM DRIVERS","DRM DRIVER FOR EBBG FT8719 PANEL",321
"DRM DRIVERS","DRM DRIVER FOR FARADAY TVE200 TV ENCODER",782
"DRM DRIVERS","DRM DRIVER FOR FEIXIN K101 IM2BA02 MIPI-DSI LCD PANELS",571
"DRM DRIVERS","DRM DRIVER FOR FEIYANG FY07024DI26A30-D MIPI-DSI LCD PANELS",325
"DRM DRIVERS","DRM DRIVER FOR FIRMWARE FRAMEBUFFERS",4903
"DRM DRIVERS","DRM DRIVER FOR GENERIC EDP PANELS",2395
"DRM DRIVERS","DRM DRIVER FOR GENERIC USB DISPLAY",2586
"DRM DRIVERS","DRM DRIVER FOR GRAIN MEDIA GM12U320 PROJECTORS",746
"DRM DRIVERS","DRM DRIVER FOR HIMAX HX8394 MIPI-DSI LCD panels",939
"DRM DRIVERS","DRM DRIVER FOR HX8357D PANELS",370
"DRM DRIVERS","DRM DRIVER FOR HYPERV SYNTHETIC VIDEO DEVICE",1180
"DRM DRIVERS","DRM DRIVER FOR ILITEK ILI9225 PANELS",487
"DRM DRIVERS","DRM DRIVER FOR ILITEK ILI9486 PANELS",352
"DRM DRIVERS","DRM DRIVER FOR ILITEK ILI9805 PANELS",469
"DRM DRIVERS","DRM DRIVER FOR ILITEK ILI9806E PANELS",565
"DRM DRIVERS","DRM DRIVER FOR JADARD JD9365DA-H3 MIPI-DSI LCD PANELS",1294
"DRM DRIVERS","DRM DRIVER FOR LG SW43408 PANELS",384
"DRM DRIVERS","DRM DRIVER FOR LOGICVC DISPLAY CONTROLLER",2231
"DRM DRIVERS","DRM DRIVER FOR LVDS PANELS",362
"DRM DRIVERS","DRM DRIVER FOR MANTIX MLAF057WE51 PANELS",411
"DRM DRIVERS","DRM DRIVER FOR MGA G200 GRAPHICS CHIPS",5570
"DRM DRIVERS","DRM DRIVER FOR MI0283QT",306
"DRM DRIVERS","DRM DRIVER FOR MIPI DBI compatible panels",628
"DRM DRIVERS","DRM DRIVER FOR NOVATEK NT35510 PANELS",1472
"DRM DRIVERS","DRM DRIVER FOR NOVATEK NT35560 PANELS",539
"DRM DRIVERS","DRM DRIVER FOR NOVATEK NT36523 PANELS",1380
"DRM DRIVERS","DRM DRIVER FOR NOVATEK NT36672A PANELS",774
"DRM DRIVERS","DRM DRIVER FOR NOVATEK NT37801 PANELS",409
"DRM DRIVERS","DRM DRIVER FOR NVIDIA GEFORCE/QUADRO GPUS",232061
"DRM DRIVERS","DRM DRIVER FOR NVIDIA GPUS [RUST]",1458
"DRM DRIVERS","DRM DRIVER FOR OLIMEX LCD-OLINUXINO PANELS",346
"DRM DRIVERS","DRM DRIVER FOR PARADE PS8640 BRIDGE CHIP",874
"DRM DRIVERS","DRM DRIVER FOR PERVASIVE DISPLAYS REPAPER PANELS",1204
"DRM DRIVERS","DRM DRIVER FOR PIXPAPER E-INK PANEL",1228
"DRM DRIVERS","DRM DRIVER FOR QEMU'S CIRRUS DEVICE",663
"DRM DRIVERS","DRM DRIVER for Qualcomm Adreno GPUs",44890
"DRM DRIVERS","DRM DRIVER for Qualcomm display hardware",148116
"DRM DRIVERS","DRM DRIVER FOR QXL VIRTUAL GPU",6713
"DRM DRIVERS","DRM DRIVER FOR RAYDIUM RM67191 PANELS",712
"DRM DRIVERS","DRM DRIVER FOR SAMSUNG DB7430 PANELS",438
"DRM DRIVERS","DRM DRIVER FOR SAMSUNG MIPI DSIM BRIDGE",2771
"DRM DRIVERS","DRM DRIVER FOR SAMSUNG S6D27A1 PANELS",417
