from,to,lines,size
AFS FILESYSTEM & AF_RXRPC SOCKET DOMAIN,THE REST,15296,386358
AGPGART DRIVER,AGPGART DRIVER,14895,393625
AGPGART DRIVER,THE REST,14895,393625
AHA152X SCSI DRIVER,AHA152X SCSI DRIVER,4559,118597
AHA152X SCSI DRIVER,SCSI SUBSYSTEM,4559,118597
AHA152X SCSI DRIVER,THE REST,4559,118597
AIC7XXX / AIC79XX SCSI DRIVER,AIC7XXX / AIC79XX SCSI DRIVER,64348,1714952
AIC7XXX / AIC79XX SCSI DRIVER,SCSI SUBSYSTEM,64348,1714952
AIC7XXX / AIC79XX SCSI DRIVER,THE REST,64348,1714952
AIO,AIO,2036,54389
AIO,FILESYSTEMS (VFS and infrastructure),1794,46779
AIO,THE REST,2036,54389
ALCATEL SPEEDTOUCH USB DRIVER,ALCATEL SPEEDTOUCH USB DRIVER,2347,66898
ALCATEL SPEEDTOUCH USB DRIVER,THE REST,2347,66898
ALCATEL SPEEDTOUCH USB DRIVER,USB SUBSYSTEM,2347,66898
ALCHEMY AU1XX0 MMC DRIVER,ALCHEMY AU1XX0 MMC DRIVER,1228,29041
ALCHEMY AU1XX0 MMC DRIVER,"MULTIMEDIA CARD (MMC), SECURE DIGITAL (SD) AND SDIO SUBSYSTEM",1228,29041
ALCHEMY AU1XX0 MMC DRIVER,THE REST,1228,29041
ALI1563 I2C DRIVER,ALI1563 I2C DRIVER,463,11991
ALI1563 I2C DRIVER,DOCUMENTATION,27,746
ALI1563 I2C DRIVER,I2C SUBSYSTEM,463,11991
ALI1563 I2C DRIVER,I2C/SMBUS CONTROLLER DRIVERS FOR PC,463,11991
ALI1563 I2C DRIVER,THE REST,463,11991
ALPHA PORT,ALPHA PORT,61946,1627402
ALPHA PORT,OPROFILE,952,24889
ALPHA PORT,PER-CPU MEMORY ALLOCATOR,18,488
ALPHA PORT,PERFORMANCE EVENTS SUBSYSTEM,896,23177
ALPHA PORT,SRM (Alpha) environment access,300,6960
ALPHA PORT,THE REST,61946,1627402
ALPHA PORT,TRACING,1,12
