from,to,lines,size
Devices - Character devices,PowerPC Machines - sPAPR,249,6700
Devices - Character devices,S390 Machines - S390 Virtio-ccw,678,18587
Devices - Character devices,SPARC Machines - Leon3,299,8047
Devices - Character devices,X86 Machines - PC Chipset,2211,68320
Devices - EDU,Devices - EDU,407,10668
Devices - EDU,General Project Administration - All patches CC here,407,10668
Devices - Floppy,Devices - Floppy,3358,100025
Devices - Floppy,General Project Administration - All patches CC here,3358,100025
Devices - Floppy,Subsystems - Block layer core,2747,85627
Devices - IDE,Devices - IDE,14640,438060
Devices - IDE,General Project Administration - All patches CC here,14640,438060
Devices - IDE,Subsystems - Block layer core,444,13842
Devices - IPack,Devices - IPack,1383,38591
Devices - IPack,General Project Administration - All patches CC here,1383,38591
Devices - LSI53C895A,Devices - LSI53C895A,2163,63287
Devices - LSI53C895A,Devices - SCSI,2163,63287
Devices - LSI53C895A,General Project Administration - All patches CC here,2163,63287
Devices - NVDIMM,Devices - NVDIMM,1338,45205
Devices - NVDIMM,General Project Administration - All patches CC here,1338,45205
Devices - Network devices,Devices - Network devices,45724,1417423
Devices - Network devices,Devices - Network packet abstractions,1790,45827
Devices - Network devices,Devices - Rocker,6016,177930
Devices - Network devices,Devices - Vmware,3640,112703
Devices - Network devices,Devices - e1000e,4340,127448
Devices - Network devices,Devices - e1000x,480,16174
Devices - Network devices,Devices - ppce500,2051,75072
Devices - Network devices,Devices - vhost,504,12719
Devices - Network devices,Devices - virtio,1922,59192
Devices - Network devices,General Project Administration - All patches CC here,45724,1417423
Devices - Network devices,Guest CPU Cores (Xen): - X86,411,13461
Devices - Network devices,Guest CPU cores (TCG): - LM32,544,14246
Devices - Network devices,PowerPC Machines - sPAPR,860,26570
Devices - Network devices,"Xtensa Machines - XTFPGA (LX60, LX200, ML605, KC705)",773,20484
Devices - Network packet abstractions,Devices - Network packet abstractions,2757,74965
Devices - Network packet abstractions,General Project Administration - All patches CC here,2757,74965
Devices - Network packet abstractions,Subsystems - Network device backends,967,29138
Devices - OMAP,Devices - OMAP,18232,532803
Devices - OMAP,Devices - SSI,374,10538
Devices - OMAP,General Project Administration - All patches CC here,18232,532803
Devices - OMAP,Guest CPU cores (TCG): - ARM,7033,215364
Devices - PCI,Devices - PCI,11108,353600
Devices - PCI,General Project Administration - All patches CC here,11108,353600
Devices - PCI,PowerPC Machines - New World,172,5320
Devices - Rocker,Devices - Rocker,6016,177930
Devices - Rocker,General Project Administration - All patches CC here,6016,177930
Devices - SCSI,Devices - SCSI,22097,694956
Devices - SCSI,Devices - Vmware,1750,51915
Devices - SCSI,Devices - megasas,3819,120135
Devices - SCSI,Devices - vhost,352,10592
Devices - SCSI,Devices - virtio,1183,36006
Devices - SCSI,General Project Administration - All patches CC here,22097,694956
Devices - SCSI,PowerPC Machines - sPAPR,1304,38356
Devices - SSI,Devices - SSI,3070,88083
Devices - SSI,General Project Administration - All patches CC here,3070,88083
Devices - SSI,Subsystems - Block layer core,1261,37163
Devices - USB,Devices - USB,37232,1164769
Devices - USB,Devices - USB (serial adapter),652,18043
Devices - USB,General Project Administration - All patches CC here,37232,1164769
Devices - USB (serial adapter),Devices - USB (serial adapter),652,18043
Devices - USB (serial adapter),General Project Administration - All patches CC here,652,18043
Devices - VFIO,Devices - VFIO,7816,259056
Devices - VFIO,General Project Administration - All patches CC here,7816,259056
Devices - VFIO,PowerPC Machines - sPAPR,209,7072
Devices - Vmware,Devices - Vmware,5390,164618
Devices - Vmware,General Project Administration - All patches CC here,5390,164618
Devices - Xilinx SPI,Devices - Xilinx SPI,1125,33018
Devices - Xilinx SPI,General Project Administration - All patches CC here,1125,33018
Devices - e1000e,Devices - e1000e,4340,127448
Devices - e1000e,General Project Administration - All patches CC here,4340,127448
Devices - e1000x,Devices - e1000x,480,16174
Devices - e1000x,General Project Administration - All patches CC here,480,16174
Devices - megasas,Devices - megasas,3819,120135
Devices - megasas,General Project Administration - All patches CC here,3819,120135
Devices - nvme,Devices - nvme,1733,49611
Devices - nvme,General Project Administration - All patches CC here,1733,49611
Devices - nvme,Subsystems - Block layer core,1701,48936
Devices - ppc4xx,Devices - ppc4xx,4648,130836
Devices - ppc4xx,General Project Administration - All patches CC here,4648,130836
Devices - ppc4xx,Guest CPU cores (TCG): - PowerPC,4648,130836
Devices - ppc4xx,PowerPC Machines - 405,664,20719
Devices - ppc4xx,PowerPC Machines - Bamboo,300,9776
Devices - ppce500,Devices - ppce500,3801,131008
Devices - ppce500,General Project Administration - All patches CC here,3801,131008
Devices - ppce500,Guest CPU cores (TCG): - PowerPC,1199,39395
Devices - ppce500,PowerPC Machines - e500,1182,39058
Devices - vhost,Devices - vhost,3168,93447
Devices - vhost,General Project Administration - All patches CC here,3168,93447
Devices - virtio,Devices - virtio,19599,603148
Devices - virtio,Devices - virtio-9p,236,6593
Devices - virtio,Devices - virtio-blk,1008,31687
Devices - virtio,Devices - virtio-ccw,1879,61867
Devices - virtio,Devices - virtio-input,1231,39099
Devices - virtio,Devices - virtio-rng,318,8940
Devices - virtio,Devices - virtio-serial,1587,45912
Devices - virtio,General Project Administration - All patches CC here,19599,603148
Devices - virtio,Guest CPU cores (TCG): - S390,1879,61867
