filename,lines,sections
block/qcow2-bitmap.c,1492,"""Block drivers - qcow2"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/qcow2-cache.c,439,"""Block drivers - qcow2"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/qcow2-cluster.c,2089,"""Block drivers - qcow2"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/qcow2-refcount.c,3219,"""Block drivers - qcow2"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/qcow2-snapshot.c,738,"""Block drivers - qcow2"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/qcow2.c,4391,"""Block drivers - qcow2"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/qcow2.h,687,"""Block drivers - qcow2"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/qed-check.c,250,"""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/qed-cluster.c,142,"""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/qed-l2-cache.c,194,"""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/qed-table.c,207,"""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/qed.c,1619,"""Block drivers - qed"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/qed.h,315,"""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/quorum.c,1134,"""Block drivers - Quorum"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/raw-format.c,520,"""Block drivers - raw"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/rbd.c,1161,"""Block drivers - RBD"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/replication.c,704,"""Block drivers - Replication"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/sheepdog.c,3194,"""Block drivers - Sheepdog"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/snapshot.c,555,"""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/ssh.c,1227,"""Block drivers - SSH"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/stream.c,280,"""General Project Administration - All patches CC here"",""Subsystems - Block Jobs"",""Subsystems - Block layer core"""
block/throttle-groups.c,941,"""General Project Administration - All patches CC here"",""Subsystems - Block layer core"",""Subsystems - Throttling infrastructure"""
block/throttle.c,255,"""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/trace-events,126,"""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/vdi.c,919,"""Block drivers - VDI"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/vhdx-endian.c,222,"""Block drivers - VHDX"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/vhdx-log.c,1076,"""Block drivers - VHDX"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/vhdx.c,2019,"""Block drivers - VHDX"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/vhdx.h,453,"""Block drivers - VHDX"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/vmdk.c,2412,"""Block drivers - VMDK"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/vpc.c,1113,"""Block drivers - vpc"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/vvfat.c,3272,"""Block drivers - vvfat"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/vxhs.c,575,"""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
block/win32-aio.c,218,"""Block drivers - raw"",""General Project Administration - All patches CC here"",""Hosts: - W32, W64"",""Subsystems - Block layer core"""
block/write-threshold.c,125,"""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
blockdev-nbd.c,212,"""Block drivers - Network Block Device (NBD)"",""General Project Administration - All patches CC here"",""Subsystems - Block layer core"""
blockdev.c,4128,"""General Project Administration - All patches CC here"",""Subsystems - Block QAPI, monitor, command line"",""Subsystems - Block layer core"""
blockjob.c,933,"""General Project Administration - All patches CC here"",""Subsystems - Block Jobs"",""Subsystems - Block layer core"""
bootdevice.c,342,"""Block drivers - Bootdevice"",""General Project Administration - All patches CC here"""
bsd-user/Makefile.objs,2,"""General Project Administration - All patches CC here"",""Usermode Emulation - BSD user"""
bsd-user/bsd-mman.h,121,"""General Project Administration - All patches CC here"",""Usermode Emulation - BSD user"""
bsd-user/bsdload.c,173,"""General Project Administration - All patches CC here"",""Usermode Emulation - BSD user"""
bsd-user/elfload.c,1565,"""General Project Administration - All patches CC here"",""Usermode Emulation - BSD user"""
bsd-user/errno_defs.h,149,"""General Project Administration - All patches CC here"",""Usermode Emulation - BSD user"""
bsd-user/freebsd/strace.list,231,"""General Project Administration - All patches CC here"",""Usermode Emulation - BSD user"""
bsd-user/freebsd/syscall_nr.h,450,"""General Project Administration - All patches CC here"",""Usermode Emulation - BSD user"""
bsd-user/i386/target_signal.h,20,"""General Project Administration - All patches CC here"",""Usermode Emulation - BSD user"""
bsd-user/i386/target_syscall.h,165,"""General Project Administration - All patches CC here"",""Usermode Emulation - BSD user"""
bsd-user/main.c,1126,"""General Project Administration - All patches CC here"",""Usermode Emulation - BSD user"""
bsd-user/mmap.c,482,"""General Project Administration - All patches CC here"",""Usermode Emulation - BSD user"""
bsd-user/netbsd/strace.list,145,"""General Project Administration - All patches CC here"",""Usermode Emulation - BSD user"""
bsd-user/netbsd/syscall_nr.h,373,"""General Project Administration - All patches CC here"",""Usermode Emulation - BSD user"""
bsd-user/openbsd/strace.list,187,"""General Project Administration - All patches CC here"",""Usermode Emulation - BSD user"""
bsd-user/openbsd/syscall_nr.h,225,"""General Project Administration - All patches CC here"",""Usermode Emulation - BSD user"""
bsd-user/qemu.h,413,"""General Project Administration - All patches CC here"",""Usermode Emulation - BSD user"""
bsd-user/signal.c,30,"""General Project Administration - All patches CC here"",""Usermode Emulation - BSD user"""
bsd-user/sparc/target_signal.h,27,"""General Project Administration - All patches CC here"",""Usermode Emulation - BSD user"""
bsd-user/sparc/target_syscall.h,14,"""General Project Administration - All patches CC here"",""Usermode Emulation - BSD user"""
bsd-user/sparc64/target_signal.h,27,"""General Project Administration - All patches CC here"",""Usermode Emulation - BSD user"""
bsd-user/sparc64/target_syscall.h,15,"""General Project Administration - All patches CC here"",""Usermode Emulation - BSD user"""
bsd-user/strace.c,238,"""General Project Administration - All patches CC here"",""Usermode Emulation - BSD user"""
bsd-user/syscall.c,564,"""General Project Administration - All patches CC here"",""Usermode Emulation - BSD user"""
bsd-user/syscall_defs.h,114,"""General Project Administration - All patches CC here"",""Usermode Emulation - BSD user"""
bsd-user/uaccess.c,65,"""General Project Administration - All patches CC here"",""Usermode Emulation - BSD user"""
bsd-user/x86_64/target_signal.h,19,"""General Project Administration - All patches CC here"",""Usermode Emulation - BSD user"""
bsd-user/x86_64/target_syscall.h,121,"""General Project Administration - All patches CC here"",""Usermode Emulation - BSD user"""
bt-host.c,198,"""General Project Administration - All patches CC here"""
bt-vhci.c,168,"""General Project Administration - All patches CC here"""
chardev/Makefile.objs,25,"""General Project Administration - All patches CC here"",""Subsystems - Character device backends"""
chardev/baum.c,678,"""General Project Administration - All patches CC here"",""Subsystems - Character Devices (Braille)"",""Subsystems - Character device backends"""
chardev/char-console.c,53,"""General Project Administration - All patches CC here"",""Subsystems - Character device backends"""
chardev/char-fd.c,168,"""General Project Administration - All patches CC here"",""Subsystems - Character device backends"""
chardev/char-fe.c,372,"""General Project Administration - All patches CC here"",""Subsystems - Character device backends"""
chardev/char-file.c,139,"""General Project Administration - All patches CC here"",""Subsystems - Character device backends"""
chardev/char-io.c,185,"""General Project Administration - All patches CC here"",""Subsystems - Character device backends"""
chardev/char-mux.c,364,"""General Project Administration - All patches CC here"",""Subsystems - Character device backends"""
chardev/char-null.c,54,"""General Project Administration - All patches CC here"",""Subsystems - Character device backends"""
chardev/char-parallel.c,316,"""General Project Administration - All patches CC here"",""Subsystems - Character device backends"""
chardev/char-pipe.c,191,"""General Project Administration - All patches CC here"",""Subsystems - Character device backends"""
chardev/char-pty.c,299,"""General Project Administration - All patches CC here"",""Subsystems - Character device backends"""
chardev/char-ringbuf.c,249,"""General Project Administration - All patches CC here"",""Subsystems - Character device backends"""
chardev/char-serial.c,318,"""General Project Administration - All patches CC here"",""Subsystems - Character device backends"""
chardev/char-socket.c,1102,"""General Project Administration - All patches CC here"",""Subsystems - Character device backends"""
chardev/char-stdio.c,164,"""General Project Administration - All patches CC here"",""Subsystems - Character device backends"""
chardev/char-udp.c,240,"""General Project Administration - All patches CC here"",""Subsystems - Character device backends"""
chardev/char-win-stdio.c,266,"""General Project Administration - All patches CC here"",""Subsystems - Character device backends"""
chardev/char-win.c,242,"""General Project Administration - All patches CC here"",""Subsystems - Character device backends"""
chardev/char.c,1097,"""General Project Administration - All patches CC here"",""Subsystems - Character device backends"""
chardev/msmouse.c,190,"""General Project Administration - All patches CC here"",""Subsystems - Character device backends"""
chardev/spice.c,421,"""General Project Administration - All patches CC here"",""Subsystems - Character device backends"""
chardev/testdev.c,129,"""General Project Administration - All patches CC here"",""Subsystems - Character device backends"""
chardev/trace-events,18,"""General Project Administration - All patches CC here"",""Subsystems - Character device backends"""
chardev/wctablet.c,369,"""General Project Administration - All patches CC here"",""Subsystems - Character device backends"""
configure,6820,"""General Project Administration - All patches CC here"""
contrib/ivshmem-client/Makefile.objs,1,"""General Project Administration - All patches CC here"""
contrib/ivshmem-client/ivshmem-client.c,446,"""General Project Administration - All patches CC here"""
contrib/ivshmem-client/ivshmem-client.h,212,"""General Project Administration - All patches CC here"""
contrib/ivshmem-client/main.c,241,"""General Project Administration - All patches CC here"""
contrib/ivshmem-server/Makefile.objs,1,"""General Project Administration - All patches CC here"""
contrib/ivshmem-server/ivshmem-server.c,457,"""General Project Administration - All patches CC here"""
contrib/ivshmem-server/ivshmem-server.h,166,"""General Project Administration - All patches CC here"""
contrib/ivshmem-server/main.c,273,"""General Project Administration - All patches CC here"""
contrib/libvhost-user/Makefile.objs,1,"""General Project Administration - All patches CC here"""
contrib/libvhost-user/libvhost-user-glib.c,154,"""General Project Administration - All patches CC here"""
contrib/libvhost-user/libvhost-user-glib.h,32,"""General Project Administration - All patches CC here"""
contrib/libvhost-user/libvhost-user.c,1582,"""General Project Administration - All patches CC here"""
contrib/libvhost-user/libvhost-user.h,461,"""General Project Administration - All patches CC here"""
contrib/vhost-user-scsi/Makefile.objs,1,"""General Project Administration - All patches CC here"""
contrib/vhost-user-scsi/vhost-user-scsi.c,437,"""General Project Administration - All patches CC here"""
cpus-common.c,353,"""General Project Administration - All patches CC here"""
cpus.c,2062,"""General Project Administration - All patches CC here"",""Guest CPU cores (TCG): - Overall"",""Subsystems - Main loop"""
crypto/Makefile.objs,40,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/aes.c,1653,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/afalg.c,116,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/afalgpriv.h,64,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/afsplit.c,159,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/block-luks.c,1440,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/block-luks.h,28,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/block-qcow.c,183,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/block-qcow.h,28,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/block.c,296,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/blockpriv.h,99,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/cipher-afalg.c,226,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/cipher-builtin.c,534,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/cipher-gcrypt.c,391,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/cipher-nettle.c,567,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/cipher.c,234,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/cipherpriv.h,56,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/desrfb.c,416,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/hash-afalg.c,214,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/hash-gcrypt.c,116,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/hash-glib.c,104,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/hash-nettle.c,161,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
crypto/hash.c,145,"""General Project Administration - All patches CC here"",""Subsystems - Cryptography"""
